------------------------------------------------------------------------------------
导出信息：
姓名：刘雅思
支付宝账户：18990149330
起始时间：[2026-01-01 00:00:00]    终止时间：[2026-05-31 23:59:59]
导出交易类型：[仅支出]
导出时间：[2026-06-19 22:11:09]
共218笔记录
收入：0笔 0.00元
支出：218笔 9689.82元
不计收支：0笔 0.00元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-05-30 17:48:29,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026053022001432981423479132	,202605301510338514731749378	,,
2026-05-29 08:44:15,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,11.38,中信银行信用卡(6963),交易成功,2026052922001432981416394152	,0064N202605290000000015895875990	,,
2026-05-28 22:29:14,母婴亲子,斑马**店,bmy***@kanyun.com,【李佳琦直播间618超级宠物节】斑马思维机2-6岁英语思维语文音乐,支出,468.62,中信银行信用卡(6963),交易成功,2026052823001132981408476850	,T200P3305246449563023788	,,
2026-05-28 20:59:53,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.60,中信银行信用卡(6963),交易成功,2026052823001432981404282980	,0064N202605280000000015835287601	,,
2026-05-28 07:51:09,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.60,中信银行信用卡(6963),交易成功,2026052823001432981455604906	,0064N202605280000000015882051663	,,
2026-05-27 08:17:26,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,8.47,中信银行信用卡(6963),交易成功,2026052722001432981446374928	,0064N202605270000000015863826446	,,
2026-05-26 12:24:05,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.83,中信银行信用卡(6963),交易成功,2026052622001432981446282521	,0064N202605260000000015801903135	,,
2026-05-24 21:17:25,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,碗碗冰(天籁福店)外卖订单,支出,12.70,交通银行信用卡(4517)&交通银行立减金,交易成功,2026052423001132981426802314	,13210600726052428448519386432	,,
2026-05-24 21:09:29,母婴亲子,巧虎**店,shc***@qiaohu.com,巧虎早教盒子全套2年版故事绘本点读笔13-24月龄宝宝益智儿童玩具,支出,2997.36,交通银行信用卡(4517)&交通银行满减,支付成功,2026052423001132981421844181	,T200P3304216416913023788	,,
2026-05-24 20:47:02,美容美发,天猫**市,tmq***@service.taobao.com,【自营】卡诗洗发水80ml丰盈深层滋养修护头发改善受损强韧修护,支出,25.44,中信银行信用卡(6963),交易成功,2026052423001132981425452641	,T200P3303557691064042152	,,
2026-05-24 20:47:02,母婴亲子,巧虎**店,shc***@qiaohu.com,巧虎早教盒子全套2年版故事绘本点读笔13-24月龄宝宝益智儿童玩具,支出,3053.84,中信银行信用卡(6963)&红包,交易关闭,2026052423001132981426996374	,T200P3303557691064023788	,,
2026-05-24 20:47:02,美容美发,lo**店,lp.***@loreal.com,【顺手买一件】试用欧莱雅PRO洗护盒享回购券,支出,9.90,中信银行信用卡(6963),交易成功,2026052423001132981427012908	,T200P3303557691064069797	,,
2026-05-24 20:47:02,餐饮美食,安琪**店,hea***@angelyeast.com,安琪耐高糖酵母官方正品高活性干酵母粉家用面包馒头专用发酵粉,支出,0.00,,支付成功,2026052423001132981427022469	,T200P3303557691064032970	,,
2026-05-22 08:53:51,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-周师傅-05月22日行程,支出,11.00,中信银行信用卡(6963),交易成功,2026052222001432981403550772	,212_202605224044740501889039	,,
